Date : 2021-10-15 22:07:57
Directory : d:\Yazilim\Flutter\Dodact\dodact_v1
Total : 242 files,  24370 codes, 1471 comments, 2278 blanks, all 28119 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\post_detail.dart                                                    | Dart       |        280 |          4 |         30 |        314 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\widgets\post\post_comments\post_comment_tile.dart                   | Dart       |        158 |          0 |         12 |        170 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\widgets\post\post_comments\post_detail_comments_part.dart           | Dart       |        181 |          3 |         15 |        199 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\widgets\post\post_description_card.dart                             | Dart       |         25 |         27 |          5 |         57 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\widgets\post\post_detail_info_part.dart                             | Dart       |        168 |          2 |         14 |        184 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\widgets\post\post_headers\audio_player\audio_player_widget.dart     | Dart       |         48 |          2 |          9 |         59 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\widgets\post\post_headers\audio_player\player_buttons.dart          | Dart       |        122 |          5 |          9 |        136 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\widgets\post\post_headers\audio_post_header.dart                    | Dart       |         17 |          0 |          3 |         20 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\widgets\post\post_headers\image_post_header.dart                    | Dart       |         39 |          0 |          4 |         43 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\widgets\post\post_headers\video_post_header.dart                    | Dart       |         26 |          0 |          4 |         30 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\discover\discover_page.dart                                                | Dart       |         86 |          2 |          7 |         95 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\discover\widgets\post_card.dart                                            | Dart       |        219 |          2 |         16 |        237 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\discover\widgets\post_card_for_grids.dart                                  | Dart       |         46 |          0 |          6 |         52 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\discover\widgets\posts_part.dart                                           | Dart       |         65 |         32 |          8 |        105 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\discover\widgets\story_components\story_page_view.dart                     | Dart       |          0 |         72 |          9 |         81 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\discover\widgets\story_container.dart                                      | Dart       |          0 |        107 |         12 |        119 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\event\event_detail.dart                                                    | Dart       |        482 |          7 |         32 |        521 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\event\events_page.dart                                                     | Dart       |        256 |          0 |         14 |        270 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\event\filtered_events_page.dart                                            | Dart       |         56 |          1 |          6 |         63 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\event\widgets\parallax_events.dart                                         | Dart       |        277 |         20 |         41 |        338 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\event\widgets\parallax_example.dart                                        | Dart       |        281 |         20 |         41 |        342 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\general\general_page.dart                                                  | Dart       |        191 |          1 |          6 |        198 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\general\subpages\contributed_post_list_page.dart                           | Dart       |         58 |          0 |          7 |         65 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\general\subpages\contributions_page.dart                                   | Dart       |        132 |          0 |         15 |        147 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\general\subpages\spinner_page.dart                                         | Dart       |        338 |          2 |         21 |        361 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\general\widgets\acik_sahne_part.dart                                       | Dart       |         38 |          0 |          3 |         41 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\general\widgets\announcement_part.dart                                     | Dart       |         35 |          0 |          4 |         39 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\general\widgets\contributions_part.dart                                    | Dart       |         27 |          4 |          2 |         33 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\general\widgets\event_part.dart                                            | Dart       |         41 |          0 |          3 |         44 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\general\widgets\podcast_part.dart                                          | Dart       |         53 |          0 |          3 |         56 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\general\widgets\post_card.dart                                             | Dart       |         35 |         52 |          7 |         94 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\general\widgets\post_part.dart                                             | Dart       |         28 |          0 |          3 |         31 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\general\widgets\spinner_part.dart                                          | Dart       |         25 |          4 |          2 |         31 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\group\screens\filtered_group_view.dart                                     | Dart       |        168 |         69 |          9 |        246 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\group\screens\group_detail_page.dart                                       | Dart       |        212 |         21 |         26 |        259 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\group\screens\groups_page.dart                                             | Dart       |        210 |          2 |         14 |        226 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\group\subpages\group_add_member_page.dart                                  | Dart       |        195 |         12 |         13 |        220 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\group\subpages\group_event_management_page.dart                            | Dart       |        149 |          4 |         11 |        164 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\group\subpages\group_invitations_page.dart                                 | Dart       |        101 |         11 |         10 |        122 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\group\subpages\group_management_page.dart                                  | Dart       |         99 |          0 |          4 |        103 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\group\subpages\group_member_management_page.dart                           | Dart       |        131 |          1 |         10 |        142 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\group\subpages\group_post_management_page.dart                             | Dart       |        168 |         42 |         11 |        221 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\group\widgets\group_events_tab_view.dart                                   | Dart       |         30 |          0 |          2 |         32 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\group\widgets\group_info_tab_view.dart                                     | Dart       |         25 |          0 |          2 |         27 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\group\widgets\group_members_tab_view.dart                                  | Dart       |         58 |          0 |          3 |         61 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\group\widgets\group_photos_tab_view.dart                                   | Dart       |         43 |          0 |          3 |         46 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\group\widgets\group_posts_tab_view.dart                                    | Dart       |         48 |          0 |          3 |         51 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\home_page.dart                                                             | Dart       |        116 |          3 |         11 |        130 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\interest\insterests_page.dart                                              | Dart       |        346 |          4 |         19 |        369 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\interest\interest_registration_page.dart                                   | Dart       |        358 |          6 |         21 |        385 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\interest\interests_util.dart                                               | Dart       |         61 |          0 |          3 |         64 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\interest\temporary_interests_page.dart                                     | Dart       |        118 |          0 |         10 |        128 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\interest\temporary_registration_interests_page.dart                        | Dart       |        116 |          0 |          6 |        122 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\interest\yedek.dart                                                        | Dart       |        231 |          0 |         23 |        254 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\landing_page.dart                                                          | Dart       |        181 |          6 |         13 |        200 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\onboarding\onboarding_page.dart                                            | Dart       |         96 |          2 |          3 |        101 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\screens\chatrooms\chatroom_page.dart                               | Dart       |        232 |          4 |         14 |        250 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\screens\chatrooms\user_chatrooms_page.dart                         | Dart       |        137 |          1 |         15 |        153 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\screens\drawer_pages\applications_page.dart                        | Dart       |         71 |          1 |          3 |         75 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\screens\drawer_pages\calendar_page.dart                            | Dart       |         35 |          0 |          2 |         37 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\screens\drawer_pages\dod_card_page.dart                            | Dart       |         73 |          5 |          6 |         84 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\screens\drawer_pages\favorites_page.dart                           | Dart       |        127 |          1 |         12 |        140 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\screens\drawer_pages\subpages\notifications_settings_page.dart     | Dart       |        213 |          0 |          7 |        220 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\screens\drawer_pages\subpages\personal_profile_settings_page.dart  | Dart       |        473 |          0 |         22 |        495 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\screens\drawer_pages\subpages\privacy_settings_page.dart           | Dart       |        116 |          9 |          9 |        134 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\screens\drawer_pages\subpages\profile_settings_page.dart           | Dart       |         65 |          0 |          3 |         68 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\screens\drawer_pages\subpages\security_settings_page.dart          | Dart       |        402 |          5 |         21 |        428 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\screens\drawer_pages\subpages\social_accounts_settings_page.dart   | Dart       |        349 |          0 |         13 |        362 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\screens\drawer_pages\user_contributions_page.dart                  | Dart       |         94 |          0 |         10 |        104 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\screens\drawer_pages\user_options_page.dart                        | Dart       |        118 |          0 |          3 |        121 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\screens\notifications\invitations\user_group_invitations_part.dart | Dart       |        145 |          0 |         17 |        162 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\screens\notifications\user_invitations_page.dart                   | Dart       |         65 |          1 |          6 |         72 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\screens\notifications\user_notifications_page.dart                 | Dart       |         81 |          1 |          7 |         89 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\screens\others_profile_page.dart                                   | Dart       |        147 |          0 |         15 |        162 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\screens\profile_page.dart                                          | Dart       |         91 |          5 |          4 |        100 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\widgets\drawer.dart                                                | Dart       |        155 |         11 |          8 |        174 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\widgets\others_profile\others_profile_body.dart                    | Dart       |         83 |          0 |          5 |         88 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\widgets\others_profile\others_profile_event_part.dart              | Dart       |        146 |          0 |         13 |        159 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\widgets\others_profile\others_profile_group_part.dart              | Dart       |        161 |          1 |          9 |        171 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\widgets\others_profile\others_profile_header.dart                  | Dart       |        106 |          0 |          5 |        111 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\widgets\others_profile\others_profile_info_part.dart               | Dart       |        102 |          7 |          5 |        114 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\widgets\others_profile\others_profile_posts_part.dart              | Dart       |         71 |          0 |          6 |         77 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\widgets\post_card_for_grids.dart                                   | Dart       |         41 |          0 |          6 |         47 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\widgets\user_profile\user_collections_part.dart                    | Dart       |          7 |          0 |          2 |          9 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\widgets\user_profile\user_profile_body.dart                        | Dart       |         86 |          1 |          5 |         92 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\widgets\user_profile\user_profile_events_tab.dart                  | Dart       |        142 |          8 |         11 |        161 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\widgets\user_profile\user_profile_groups_tab.dart                  | Dart       |        162 |          0 |          7 |        169 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\widgets\user_profile\user_profile_header.dart                      | Dart       |         93 |          0 |          6 |         99 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\widgets\user_profile\user_profile_info_tab.dart                    | Dart       |         94 |         14 |          6 |        114 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\profile\widgets\user_profile\user_profile_posts_tab.dart                   | Dart       |         69 |          0 |          6 |         75 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\search\search_page.dart                                                    | Dart       |        337 |          4 |         15 |        356 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\utilities\ad_helper.dart                                                      | Dart       |          0 |         32 |          5 |         37 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\utilities\dialogs.dart                                                        | Dart       |        224 |          0 |         10 |        234 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\utilities\error_handlers\auth_exception_handler.dart                          | Dart       |        145 |          3 |          6 |        154 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\utilities\profanity_checker.dart                                              | Dart       |        715 |          0 |          4 |        719 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\lib\utilities\role_controller.dart                                                | Dart       |         39 |          0 |          7 |         46 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\package-lock.json                                                                 | JSON       |          3 |          0 |          1 |          4 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\pubspec.yaml                                                                      | YAML       |        137 |          2 |         28 |        167 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\test\widget_test.dart                                                             | Dart       |         14 |         10 |          7 |         31 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\web\index.html                                                                    | HTML       |         79 |         14 |          6 |         99 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\web\manifest.json                                                                 | JSON       |         23 |          0 |          1 |         24 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\yedekler\feed_yedek.dart                                                          | Dart       |          0 |         60 |          0 |         60 |
| d:\Yazilim\Flutter\Dodact\dodact_v1\yedekler\profile_backup.dart                                                      | Dart       |          0 |        215 |          0 |        215 |
| Total                                                                                                                 |            |     24,370 |      1,471 |      2,278 |     28,119 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
